task,metric,feature_group,model,metric_value,baseline_value,delta_vs_price,pct_change_vs_price,higher_is_better
classification,roc_auc,all_news,random_forest,0.6253420857988166,0.9095460428994083,-0.28420395710059176,-0.31246791662643014,True
classification,roc_auc,climatebert,hist_gradient_boosting,0.5928439349112427,0.9095460428994083,-0.31670210798816567,-0.348197994439729,True
classification,roc_auc,finbert,gradient_boosting,0.524842825443787,0.9095460428994083,-0.3847032174556213,-0.4229617845725351,True
classification,roc_auc,full,hist_gradient_boosting,0.9078217455621302,0.9095460428994083,-0.00172429733727808,-0.0018957779551010366,True
classification,roc_auc,keyword,gradient_boosting,0.6019693047337278,0.9095460428994083,-0.30757673816568054,-0.33816511057010573,True
classification,roc_auc,price,gradient_boosting,0.9095460428994083,0.9095460428994083,0.0,0.0,True
classification,roc_auc,price_all_news,hist_gradient_boosting,0.9078217455621302,0.9095460428994083,-0.00172429733727808,-0.0018957779551010366,True
classification,roc_auc,price_climatebert,hist_gradient_boosting,0.9020802514792899,0.9095460428994083,-0.007465791420118384,-0.008208261119271415,True
classification,roc_auc,price_finbert,hist_gradient_boosting,0.9040680473372781,0.9095460428994083,-0.0054779955621302445,-0.006022779830549036,True
classification,roc_auc,price_finbert_climatebert,hist_gradient_boosting,0.9051867603550297,0.9095460428994083,-0.004359282544378673,-0.004792811291314463,True
classification,roc_auc,price_keyword,hist_gradient_boosting,0.9031989644970414,0.9095460428994083,-0.0063470784023669236,-0.006978292580036964,True
regression,rmse,all_news,random_forest,0.010840164292349637,0.007136003252191204,-0.003704161040158433,-0.5190806266828735,False
regression,rmse,climatebert,random_forest,0.009261306590109125,0.007136003252191204,-0.0021253033379179213,-0.2978282468222417,False
regression,rmse,finbert,random_forest,0.010113828081666398,0.007136003252191204,-0.002977824829475194,-0.41729589018345997,False
regression,rmse,full,hist_gradient_boosting,0.008019703065428072,0.007136003252191204,-0.0008836998132368684,-0.12383680079819424,False
regression,rmse,keyword,random_forest,0.01012253570822789,0.007136003252191204,-0.002986532456036686,-0.41851612877553435,False
regression,rmse,price,random_forest,0.007136003252191204,0.007136003252191204,0.0,0.0,False
regression,rmse,price_all_news,hist_gradient_boosting,0.008019703065428072,0.007136003252191204,-0.0008836998132368684,-0.12383680079819424,False
regression,rmse,price_climatebert,gradient_boosting,0.00722705896618955,0.007136003252191204,-9.105571399834617e-05,-0.012760043792074549,False
regression,rmse,price_finbert,random_forest,0.0074454777158139,0.007136003252191204,-0.00030947446362269634,-0.04336803847835525,False
regression,rmse,price_finbert_climatebert,random_forest,0.007417496914371408,0.007136003252191204,-0.00028149366218020375,-0.03944696383003573,False
regression,rmse,price_keyword,hist_gradient_boosting,0.007658124536301838,0.007136003252191204,-0.0005221212841106338,-0.07316718696145628,False
