evaluation_slice,task,target,feature_group,model,test_rows,rmse,mae,r2,spearman,f1,precision,recall,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_top_10pct
all_weeks,classification,high_vol_21d,all_news,gradient_boosting,728,,,,,0.2109375,0.5625,0.12980769230769232,0.4058291467239176,0.5999260355029585,499.0,21.0,181.0,27.0,0.5068493150684932
news_weeks,classification,high_vol_21d,all_news,gradient_boosting,590,,,,,0.2231404958677686,0.5625,0.13917525773195877,0.4454506808831548,0.6151202749140894,375.0,21.0,167.0,27.0,0.5254237288135594
all_weeks,classification,high_vol_21d,all_news,hist_gradient_boosting,728,,,,,0.2471042471042471,0.6274509803921569,0.15384615384615385,0.42566009605202565,0.5861039201183432,501.0,19.0,176.0,32.0,0.5753424657534246
news_weeks,classification,high_vol_21d,all_news,hist_gradient_boosting,590,,,,,0.2612244897959184,0.6274509803921569,0.16494845360824742,0.4878137380764053,0.6299463709257525,377.0,19.0,162.0,32.0,0.6271186440677966
all_weeks,classification,high_vol_21d,all_news,logistic,728,,,,,0.40389294403892945,0.4088669950738916,0.39903846153846156,0.3382248412757792,0.589376849112426,400.0,120.0,125.0,83.0,0.3150684931506849
news_weeks,classification,high_vol_21d,all_news,logistic,590,,,,,0.4181360201511335,0.4088669950738916,0.42783505154639173,0.38016604726469533,0.612178485889826,276.0,120.0,111.0,83.0,0.3050847457627119
all_weeks,classification,high_vol_21d,all_news,random_forest,728,,,,,0.21428571428571427,0.6136363636363636,0.12980769230769232,0.4103052539122317,0.6253420857988166,503.0,17.0,181.0,27.0,0.6164383561643836
news_weeks,classification,high_vol_21d,all_news,random_forest,590,,,,,0.22784810126582278,0.627906976744186,0.13917525773195877,0.5269389788431943,0.7130584192439863,380.0,16.0,167.0,27.0,0.6610169491525424
all_weeks,classification,high_vol_21d,climatebert,gradient_boosting,728,,,,,0.1556420233463035,0.40816326530612246,0.09615384615384616,0.362960134721141,0.5884060650887574,491.0,29.0,188.0,20.0,0.4794520547945205
news_weeks,classification,high_vol_21d,climatebert,gradient_boosting,590,,,,,0.1646090534979424,0.40816326530612246,0.10309278350515463,0.4136945474325342,0.6236592731438092,367.0,29.0,174.0,20.0,0.4406779661016949
all_weeks,classification,high_vol_21d,climatebert,hist_gradient_boosting,728,,,,,0.21705426356589147,0.56,0.1346153846153846,0.39609223699431334,0.5928439349112427,498.0,22.0,180.0,28.0,0.6027397260273972
news_weeks,classification,high_vol_21d,climatebert,hist_gradient_boosting,590,,,,,0.22950819672131148,0.56,0.14432989690721648,0.4630507312370261,0.6463084452775174,374.0,22.0,166.0,28.0,0.559322033898305
all_weeks,classification,high_vol_21d,climatebert,logistic,728,,,,,0.27125506072874495,0.23426573426573427,0.32211538461538464,0.2651410168618278,0.47640532544378694,301.0,219.0,141.0,67.0,0.2191780821917808
news_weeks,classification,high_vol_21d,climatebert,logistic,590,,,,,0.30994152046783624,0.3581081081081081,0.27319587628865977,0.330312882268289,0.5340778923253151,301.0,95.0,141.0,53.0,0.1694915254237288
all_weeks,classification,high_vol_21d,climatebert,random_forest,728,,,,,0.25089605734767023,0.49295774647887325,0.16826923076923078,0.3269277405608204,0.5514700443786982,484.0,36.0,173.0,35.0,0.4931506849315068
news_weeks,classification,high_vol_21d,climatebert,random_forest,590,,,,,0.2641509433962264,0.49295774647887325,0.18041237113402062,0.43962128408392454,0.639969280433198,360.0,36.0,159.0,35.0,0.5084745762711864
all_weeks,classification,high_vol_21d,finbert,gradient_boosting,728,,,,,0.17073170731707318,0.5526315789473685,0.10096153846153846,0.3330560460891574,0.524842825443787,503.0,17.0,187.0,21.0,0.4246575342465753
news_weeks,classification,high_vol_21d,finbert,gradient_boosting,590,,,,,0.1810344827586207,0.5526315789473685,0.10824742268041238,0.37209962344909436,0.540937727793398,379.0,17.0,173.0,21.0,0.4576271186440678
all_weeks,classification,high_vol_21d,finbert,hist_gradient_boosting,728,,,,,0.08906882591093117,0.28205128205128205,0.052884615384615384,0.2820281957539545,0.47254992603550294,492.0,28.0,197.0,11.0,0.3287671232876712
news_weeks,classification,high_vol_21d,finbert,hist_gradient_boosting,590,,,,,0.0944206008583691,0.28205128205128205,0.05670103092783505,0.33495243224558424,0.5102181609913569,368.0,28.0,183.0,11.0,0.288135593220339
all_weeks,classification,high_vol_21d,finbert,logistic,728,,,,,0.26666666666666666,0.3357664233576642,0.22115384615384615,0.27066014820514417,0.4533284023668639,429.0,91.0,162.0,46.0,0.2876712328767123
news_weeks,classification,high_vol_21d,finbert,logistic,590,,,,,0.27794561933534745,0.3357664233576642,0.23711340206185566,0.32214116414032196,0.4946370925752369,305.0,91.0,148.0,46.0,0.288135593220339
all_weeks,classification,high_vol_21d,finbert,random_forest,728,,,,,0.01834862385321101,0.2,0.009615384615384616,0.23700276680270885,0.42140347633136094,512.0,8.0,206.0,2.0,0.136986301369863
news_weeks,classification,high_vol_21d,finbert,random_forest,590,,,,,0.0196078431372549,0.2,0.010309278350515464,0.34306084731431286,0.5080573779027387,388.0,8.0,192.0,2.0,0.3389830508474576
all_weeks,classification,high_vol_21d,full,gradient_boosting,728,,,,,0.7214611872146118,0.6869565217391305,0.7596153846153846,0.7071844074789146,0.867552699704142,448.0,72.0,50.0,158.0,0.7123287671232876
news_weeks,classification,high_vol_21d,full,gradient_boosting,590,,,,,0.7312348668280871,0.6894977168949772,0.7783505154639175,0.7278177949749292,0.8605123398937832,328.0,68.0,43.0,151.0,0.711864406779661
all_weeks,classification,high_vol_21d,full,hist_gradient_boosting,728,,,,,0.766497461928934,0.8118279569892473,0.7259615384615384,0.7745865372407146,0.9078217455621302,485.0,35.0,57.0,151.0,0.821917808219178
news_weeks,classification,high_vol_21d,full,hist_gradient_boosting,590,,,,,0.7804878048780488,0.8228571428571428,0.7422680412371134,0.7970221539510518,0.9078673331250651,365.0,31.0,50.0,144.0,0.8135593220338984
all_weeks,classification,high_vol_21d,full,logistic,728,,,,,0.684596577017115,0.6965174129353234,0.6730769230769231,0.6571592044743512,0.8569064349112426,459.0,61.0,68.0,140.0,0.7945205479452054
news_weeks,classification,high_vol_21d,full,logistic,590,,,,,0.7071240105540897,0.7243243243243244,0.6907216494845361,0.6808344845431229,0.8614625637821515,345.0,51.0,60.0,134.0,0.7627118644067796
all_weeks,classification,high_vol_21d,full,random_forest,728,,,,,0.7684964200477327,0.7630331753554502,0.7740384615384616,0.7497884096392515,0.8974112426035503,470.0,50.0,47.0,161.0,0.7808219178082192
news_weeks,classification,high_vol_21d,full,random_forest,590,,,,,0.7897435897435897,0.7857142857142857,0.7938144329896907,0.7794782559700196,0.8990029157554931,354.0,42.0,40.0,154.0,0.7966101694915254
all_weeks,classification,high_vol_21d,keyword,gradient_boosting,728,,,,,0.1509433962264151,0.3508771929824561,0.09615384615384616,0.380060537986098,0.6019693047337278,483.0,37.0,188.0,20.0,0.3561643835616438
news_weeks,classification,high_vol_21d,keyword,gradient_boosting,590,,,,,0.16,0.35714285714285715,0.10309278350515463,0.41768668381793483,0.6096141830677914,360.0,36.0,174.0,20.0,0.3559322033898305
all_weeks,classification,high_vol_21d,keyword,hist_gradient_boosting,728,,,,,0.19330855018587362,0.4262295081967213,0.125,0.3363910631104272,0.550933801775148,485.0,35.0,182.0,26.0,0.410958904109589
news_weeks,classification,high_vol_21d,keyword,hist_gradient_boosting,590,,,,,0.2047244094488189,0.43333333333333335,0.13402061855670103,0.39095165040224067,0.5917031136103301,362.0,34.0,168.0,26.0,0.423728813559322
all_weeks,classification,high_vol_21d,keyword,logistic,728,,,,,0.4375,0.4375,0.4375,0.3653625145851426,0.5977533284023668,403.0,117.0,117.0,91.0,0.3972602739726027
news_weeks,classification,high_vol_21d,keyword,logistic,590,,,,,0.4538653366583541,0.4396135265700483,0.4690721649484536,0.40236868815916604,0.6101218369259606,280.0,116.0,103.0,91.0,0.3728813559322034
all_weeks,classification,high_vol_21d,keyword,random_forest,728,,,,,0.05150214592274678,0.24,0.028846153846153848,0.2712978762989892,0.5087370562130178,501.0,19.0,202.0,6.0,0.273972602739726
news_weeks,classification,high_vol_21d,keyword,random_forest,590,,,,,0.05504587155963303,0.25,0.030927835051546393,0.38579396902541296,0.6135842965739873,378.0,18.0,188.0,6.0,0.3389830508474576
all_weeks,classification,high_vol_21d,price,gradient_boosting,728,,,,,0.789838337182448,0.76,0.8221153846153846,0.8412684015806885,0.9095460428994083,466.0,54.0,37.0,171.0,0.9863013698630136
news_weeks,classification,high_vol_21d,price,gradient_boosting,590,,,,,0.803921568627451,0.7663551401869159,0.845360824742268,0.8628109169383172,0.9138810788295324,346.0,50.0,30.0,164.0,0.9830508474576272
all_weeks,classification,high_vol_21d,price,hist_gradient_boosting,728,,,,,0.7954545454545454,0.7543103448275862,0.8413461538461539,0.7892071296035639,0.9001294378698226,463.0,57.0,33.0,175.0,0.8493150684931506
news_weeks,classification,high_vol_21d,price,hist_gradient_boosting,590,,,,,0.8106796116504854,0.7660550458715596,0.8608247422680413,0.8087675108941067,0.9021529730292617,345.0,51.0,27.0,167.0,0.864406779661017
all_weeks,classification,high_vol_21d,price,logistic,728,,,,,0.777292576419214,0.712,0.8557692307692307,0.8092325469380699,0.9059448964497042,448.0,72.0,30.0,178.0,0.863013698630137
news_weeks,classification,high_vol_21d,price,logistic,590,,,,,0.8009367681498829,0.7339055793991416,0.8814432989690721,0.8317654008462189,0.9139982297198792,334.0,62.0,23.0,171.0,0.8813559322033898
all_weeks,classification,high_vol_21d,price,random_forest,728,,,,,0.7903930131004366,0.724,0.8701923076923077,0.8205220173219404,0.9071375739644969,451.0,69.0,27.0,181.0,0.9178082191780822
news_weeks,classification,high_vol_21d,price,random_forest,590,,,,,0.8093023255813954,0.7372881355932204,0.8969072164948454,0.8384068222589861,0.9106659377277934,334.0,62.0,20.0,174.0,0.9152542372881356
all_weeks,classification,high_vol_21d,price_all_news,gradient_boosting,728,,,,,0.7214611872146118,0.6869565217391305,0.7596153846153846,0.7071844074789146,0.867552699704142,448.0,72.0,50.0,158.0,0.7123287671232876
news_weeks,classification,high_vol_21d,price_all_news,gradient_boosting,590,,,,,0.7312348668280871,0.6894977168949772,0.7783505154639175,0.7278177949749292,0.8605123398937832,328.0,68.0,43.0,151.0,0.711864406779661
all_weeks,classification,high_vol_21d,price_all_news,hist_gradient_boosting,728,,,,,0.766497461928934,0.8118279569892473,0.7259615384615384,0.7745865372407146,0.9078217455621302,485.0,35.0,57.0,151.0,0.821917808219178
news_weeks,classification,high_vol_21d,price_all_news,hist_gradient_boosting,590,,,,,0.7804878048780488,0.8228571428571428,0.7422680412371134,0.7970221539510518,0.9078673331250651,365.0,31.0,50.0,144.0,0.8135593220338984
all_weeks,classification,high_vol_21d,price_all_news,logistic,728,,,,,0.684596577017115,0.6965174129353234,0.6730769230769231,0.6571592044743512,0.8569064349112426,459.0,61.0,68.0,140.0,0.7945205479452054
news_weeks,classification,high_vol_21d,price_all_news,logistic,590,,,,,0.7071240105540897,0.7243243243243244,0.6907216494845361,0.6808344845431229,0.8614625637821515,345.0,51.0,60.0,134.0,0.7627118644067796
all_weeks,classification,high_vol_21d,price_all_news,random_forest,728,,,,,0.7684964200477327,0.7630331753554502,0.7740384615384616,0.7497884096392515,0.8974112426035503,470.0,50.0,47.0,161.0,0.7808219178082192
news_weeks,classification,high_vol_21d,price_all_news,random_forest,590,,,,,0.7897435897435897,0.7857142857142857,0.7938144329896907,0.7794782559700196,0.8990029157554931,354.0,42.0,40.0,154.0,0.7966101694915254
all_weeks,classification,high_vol_21d,price_climatebert,gradient_boosting,728,,,,,0.7681818181818182,0.728448275862069,0.8125,0.8161708381305014,0.9003420857988165,457.0,63.0,39.0,169.0,0.9178082191780822
news_weeks,classification,high_vol_21d,price_climatebert,gradient_boosting,590,,,,,0.782608695652174,0.7363636363636363,0.8350515463917526,0.8395091011562457,0.9022310736228264,338.0,58.0,32.0,162.0,0.9322033898305084
all_weeks,classification,high_vol_21d,price_climatebert,hist_gradient_boosting,728,,,,,0.7614457831325301,0.7632850241545893,0.7596153846153846,0.7804407173349913,0.9020802514792899,471.0,49.0,50.0,158.0,0.8767123287671232
news_weeks,classification,high_vol_21d,price_climatebert,hist_gradient_boosting,590,,,,,0.7783505154639175,0.7783505154639175,0.7783505154639175,0.8052964446057379,0.9029469957305009,353.0,43.0,43.0,151.0,0.9152542372881356
all_weeks,classification,high_vol_21d,price_climatebert,logistic,728,,,,,0.7276887871853547,0.6943231441048034,0.7644230769230769,0.6758384466279529,0.8642381656804734,450.0,70.0,49.0,159.0,0.7671232876712328
