evaluation_slice,task,target,feature_group,model,test_rows,rmse,mae,r2,spearman,f1,precision,recall,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_top_10pct
all_weeks,classification,high_vol_21d,full,gradient_boosting,728,,,,,0.7695852534562212,0.7389380530973452,0.8028846153846154,0.8488661800035949,0.9060604659763313,461.0,59.0,41.0,167.0,0.9863013698630136
news_weeks,classification,high_vol_21d,full,gradient_boosting,590,,,,,0.7901234567901234,0.7582938388625592,0.8247422680412371,0.8708341426214407,0.911219150265542,345.0,51.0,34.0,160.0,0.9830508474576272
all_weeks,classification,high_vol_21d,full,hist_gradient_boosting,728,,,,,0.7703349282296651,0.7666666666666667,0.7740384615384616,0.8525222302088643,0.9147651627218935,471.0,49.0,47.0,161.0,0.9863013698630136
news_weeks,classification,high_vol_21d,full,hist_gradient_boosting,590,,,,,0.7917737789203085,0.7897435897435897,0.7938144329896907,0.8739049512406868,0.9208190148911799,355.0,41.0,40.0,154.0,0.9830508474576272
all_weeks,classification,high_vol_21d,full,logistic,728,,,,,0.7432432432432432,0.6991525423728814,0.7932692307692307,0.7417274797294651,0.8862426035502957,449.0,71.0,43.0,165.0,0.821917808219178
news_weeks,classification,high_vol_21d,full,logistic,590,,,,,0.7651331719128329,0.7214611872146118,0.8144329896907216,0.7605720624621483,0.8879516817661147,335.0,61.0,36.0,158.0,0.8305084745762712
all_weeks,classification,high_vol_21d,full,random_forest,728,,,,,0.7703349282296651,0.7666666666666667,0.7740384615384616,0.8093802811328282,0.9089866863905326,471.0,49.0,47.0,161.0,0.9041095890410958
news_weeks,classification,high_vol_21d,full,random_forest,590,,,,,0.7917737789203085,0.7897435897435897,0.7938144329896907,0.8326346581758075,0.910913256274081,355.0,41.0,40.0,154.0,0.8983050847457628
all_weeks,classification,high_vol_21d,price,gradient_boosting,728,,,,,0.7901785714285714,0.7375,0.8509615384615384,0.8527678410870724,0.9098002958579883,457.0,63.0,31.0,177.0,0.9726027397260274
news_weeks,classification,high_vol_21d,price,gradient_boosting,590,,,,,0.8095238095238095,0.7522123893805309,0.8762886597938144,0.8731319124250652,0.9151957721545351,340.0,56.0,24.0,170.0,0.9830508474576272
all_weeks,classification,high_vol_21d,price,hist_gradient_boosting,728,,,,,0.7982261640798226,0.7407407407407407,0.8653846153846154,0.8413897612179004,0.912287352071006,457.0,63.0,28.0,180.0,0.9041095890410958
news_weeks,classification,high_vol_21d,price,hist_gradient_boosting,590,,,,,0.817966903073286,0.7554585152838428,0.8917525773195877,0.8615526264436281,0.9162110798708736,340.0,56.0,21.0,173.0,0.9322033898305084
all_weeks,classification,high_vol_21d,price,logistic,728,,,,,0.771551724137931,0.69921875,0.8605769230769231,0.8242153664162473,0.9081915680473372,443.0,77.0,29.0,179.0,0.9041095890410958
news_weeks,classification,high_vol_21d,price,logistic,590,,,,,0.7944572748267898,0.7196652719665272,0.8865979381443299,0.8458781667036744,0.915651358950328,329.0,67.0,22.0,172.0,0.8983050847457628
all_weeks,classification,high_vol_21d,price,random_forest,728,,,,,0.789587852494577,0.7193675889328063,0.875,0.8379095169035344,0.908126849112426,449.0,71.0,26.0,182.0,0.9178082191780822
news_weeks,classification,high_vol_21d,price,random_forest,590,,,,,0.813953488372093,0.7415254237288136,0.9020618556701031,0.8586478505538042,0.9126184525669062,335.0,61.0,19.0,175.0,0.9661016949152542
all_weeks,classification,high_vol_21d,price_all_news,gradient_boosting,728,,,,,0.7695852534562212,0.7389380530973452,0.8028846153846154,0.8488661800035949,0.9060604659763313,461.0,59.0,41.0,167.0,0.9863013698630136
news_weeks,classification,high_vol_21d,price_all_news,gradient_boosting,590,,,,,0.7901234567901234,0.7582938388625592,0.8247422680412371,0.8708341426214407,0.911219150265542,345.0,51.0,34.0,160.0,0.9830508474576272
all_weeks,classification,high_vol_21d,price_all_news,hist_gradient_boosting,728,,,,,0.7703349282296651,0.7666666666666667,0.7740384615384616,0.8525222302088643,0.9147651627218935,471.0,49.0,47.0,161.0,0.9863013698630136
news_weeks,classification,high_vol_21d,price_all_news,hist_gradient_boosting,590,,,,,0.7917737789203085,0.7897435897435897,0.7938144329896907,0.8739049512406868,0.9208190148911799,355.0,41.0,40.0,154.0,0.9830508474576272
all_weeks,classification,high_vol_21d,price_all_news,logistic,728,,,,,0.7432432432432432,0.6991525423728814,0.7932692307692307,0.7417274797294651,0.8862426035502957,449.0,71.0,43.0,165.0,0.821917808219178
news_weeks,classification,high_vol_21d,price_all_news,logistic,590,,,,,0.7651331719128329,0.7214611872146118,0.8144329896907216,0.7605720624621483,0.8879516817661147,335.0,61.0,36.0,158.0,0.8305084745762712
all_weeks,classification,high_vol_21d,price_all_news,random_forest,728,,,,,0.7703349282296651,0.7666666666666667,0.7740384615384616,0.8093802811328282,0.9089866863905326,471.0,49.0,47.0,161.0,0.9041095890410958
news_weeks,classification,high_vol_21d,price_all_news,random_forest,590,,,,,0.7917737789203085,0.7897435897435897,0.7938144329896907,0.8326346581758075,0.910913256274081,355.0,41.0,40.0,154.0,0.8983050847457628
all_weeks,classification,high_vol_21d,price_climatebert,gradient_boosting,728,,,,,0.7835990888382688,0.7445887445887446,0.8269230769230769,0.8601053813331363,0.9076229659763314,461.0,59.0,36.0,172.0,0.9863013698630136
news_weeks,classification,high_vol_21d,price_climatebert,gradient_boosting,590,,,,,0.8048780487804879,0.7638888888888888,0.8505154639175257,0.882180491666288,0.9144082578360929,345.0,51.0,29.0,165.0,0.9830508474576272
all_weeks,classification,high_vol_21d,price_climatebert,hist_gradient_boosting,728,,,,,0.780373831775701,0.759090909090909,0.8028846153846154,0.8531055158908908,0.9136834319526627,467.0,53.0,41.0,167.0,0.9726027397260274
news_weeks,classification,high_vol_21d,price_climatebert,hist_gradient_boosting,590,,,,,0.8,0.7766990291262136,0.8247422680412371,0.8749678028023908,0.9200249921899406,350.0,46.0,34.0,160.0,0.9830508474576272
all_weeks,classification,high_vol_21d,price_climatebert,logistic,728,,,,,0.75,0.7,0.8076923076923077,0.7357347240956543,0.8902366863905326,448.0,72.0,40.0,168.0,0.8493150684931506
news_weeks,classification,high_vol_21d,price_climatebert,logistic,590,,,,,0.7721822541966427,0.7219730941704036,0.8298969072164949,0.7525857426807085,0.8918567114443403,334.0,62.0,33.0,161.0,0.8135593220338984
all_weeks,classification,high_vol_21d,price_climatebert,random_forest,728,,,,,0.7882882882882883,0.7415254237288136,0.8413461538461539,0.8052439322159266,0.9073502218934911,459.0,61.0,33.0,175.0,0.8904109589041096
news_weeks,classification,high_vol_21d,price_climatebert,random_forest,590,,,,,0.8096385542168675,0.7601809954751131,0.865979381443299,0.8305021065859199,0.9106268874310112,343.0,53.0,26.0,168.0,0.8983050847457628
all_weeks,regression,future_vol_21d,full,gradient_boosting,728,0.006806623985030757,0.00490233002798184,0.44628908850720417,0.7766162543728096,,,,,,,,,,
news_weeks,regression,future_vol_21d,full,gradient_boosting,590,0.006904427326608782,0.004938638787323815,0.4276439924417197,0.7860095403712984,,,,,,,,,,
all_weeks,regression,future_vol_21d,full,hist_gradient_boosting,728,0.006542438419900666,0.004962782396841988,0.48843732518744853,0.787252307877867,,,,,,,,,,
news_weeks,regression,future_vol_21d,full,hist_gradient_boosting,590,0.0066663472980340545,0.005056939221491446,0.4664356666899909,0.7863422987176691,,,,,,,,,,
all_weeks,regression,future_vol_21d,full,random_forest,728,0.007145749298691855,0.005686987104512777,0.3897397072071258,0.7747960628137917,,,,,,,,,,
news_weeks,regression,future_vol_21d,full,random_forest,590,0.007339857443769176,0.005950640260157418,0.35317593382500345,0.7705576160610067,,,,,,,,,,
all_weeks,regression,future_vol_21d,full,ridge,728,0.008942855156157824,0.006805467291137342,0.04418915082587471,0.6992826205725488,,,,,,,,,,
news_weeks,regression,future_vol_21d,full,ridge,590,0.009357845310858226,0.007227114071877809,-0.051387099177586215,0.6872610903940681,,,,,,,,,,
all_weeks,regression,future_vol_21d,price,gradient_boosting,728,0.0064796133569249995,0.0047562688150253165,0.49821491722622224,0.774980003910073,,,,,,,,,,
news_weeks,regression,future_vol_21d,price,gradient_boosting,590,0.006497557302254642,0.004767565048991369,0.49311299593058244,0.7881044072119273,,,,,,,,,,
all_weeks,regression,future_vol_21d,price,hist_gradient_boosting,728,0.00644081582839999,0.00478519544232198,0.5042059343866259,0.784055032952305,,,,,,,,,,
news_weeks,regression,future_vol_21d,price,hist_gradient_boosting,590,0.006518269655218077,0.004816883206094465,0.48987622381073637,0.793438808504801,,,,,,,,,,
all_weeks,regression,future_vol_21d,price,random_forest,728,0.0064518620051663925,0.004866318001085217,0.5025038751073909,0.7846284536640642,,,,,,,,,,
news_weeks,regression,future_vol_21d,price,random_forest,590,0.006481602473493742,0.004909205701136312,0.4955992736964081,0.7947306924812593,,,,,,,,,,
all_weeks,regression,future_vol_21d,price,ridge,728,0.0072341986584935096,0.005340621834086607,0.3745387278073049,0.7202855024190803,,,,,,,,,,
news_weeks,regression,future_vol_21d,price,ridge,590,0.007257534473846142,0.005366809653802762,0.36760396985852484,0.7469946524564096,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_all_news,gradient_boosting,728,0.006806623985030757,0.00490233002798184,0.44628908850720417,0.7766162543728096,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_all_news,gradient_boosting,590,0.006904427326608782,0.004938638787323815,0.4276439924417197,0.7860095403712984,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_all_news,hist_gradient_boosting,728,0.006542438419900666,0.004962782396841988,0.48843732518744853,0.787252307877867,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_all_news,hist_gradient_boosting,590,0.0066663472980340545,0.005056939221491446,0.4664356666899909,0.7863422987176691,,,,,,,,,,
all_weeks,regression,future_vol_21d,price_all_news,random_forest,728,0.007145749298691855,0.005686987104512777,0.3897397072071258,0.7747960628137917,,,,,,,,,,
news_weeks,regression,future_vol_21d,price_all_news,random_forest,590,0.007339857443769176,0.005950640260157418,0.35317593382500345,0.7705576160610067,,,,,,,,,,
