task,model,target,validation_metric,validation_score,params,feature_group
regression,ridge,future_vol_21d,rmse,0.008066356375135003,{'alpha': 0.1},price
regression,ridge,future_vol_21d,rmse,0.008065749293119378,{'alpha': 1.0},price
regression,ridge,future_vol_21d,rmse,0.008059756910950495,{'alpha': 10.0},price
regression,ridge,future_vol_21d,rmse,0.00803456505834617,{'alpha': 50.0},price
regression,random_forest,future_vol_21d,rmse,0.007009512373594534,"{'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",price
regression,random_forest,future_vol_21d,rmse,0.006815161724459659,"{'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",price
regression,random_forest,future_vol_21d,rmse,0.006749114205558284,"{'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 300}",price
regression,random_forest,future_vol_21d,rmse,0.007142410262243515,"{'max_features': 0.7, 'min_samples_leaf': 2, 'n_estimators': 300}",price
regression,random_forest,future_vol_21d,rmse,0.006917840271024543,"{'max_features': 0.7, 'min_samples_leaf': 5, 'n_estimators': 300}",price
regression,random_forest,future_vol_21d,rmse,0.0069080965535983216,"{'max_features': 0.7, 'min_samples_leaf': 10, 'n_estimators': 300}",price
regression,random_forest,future_vol_21d,rmse,0.007401692202611799,"{'max_features': 1.0, 'min_samples_leaf': 2, 'n_estimators': 300}",price
regression,random_forest,future_vol_21d,rmse,0.007069264251373386,"{'max_features': 1.0, 'min_samples_leaf': 5, 'n_estimators': 300}",price
regression,random_forest,future_vol_21d,rmse,0.007062827167017305,"{'max_features': 1.0, 'min_samples_leaf': 10, 'n_estimators': 300}",price
regression,gradient_boosting,future_vol_21d,rmse,0.006873851759570836,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 100}",price
regression,gradient_boosting,future_vol_21d,rmse,0.006747366451890639,"{'learning_rate': 0.03, 'max_depth': 2, 'n_estimators': 200}",price
regression,gradient_boosting,future_vol_21d,rmse,0.0069137958017560655,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100}",price
regression,gradient_boosting,future_vol_21d,rmse,0.007076772102788754,"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 200}",price
regression,gradient_boosting,future_vol_21d,rmse,0.006748706729474338,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",price
regression,gradient_boosting,future_vol_21d,rmse,0.006987880533173033,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 200}",price
