task,metric,feature_group,model,metric_value,baseline_value,delta_vs_price,pct_change_vs_price,higher_is_better
classification,roc_auc,all_news,logistic,0.6898298816568047,0.9095460428994083,-0.21971616124260362,-0.24156683760857528,True
classification,roc_auc,climatebert,gradient_boosting,0.6223465236686391,0.9095460428994083,-0.28719951923076925,-0.3157613861033885,True
classification,roc_auc,finbert,logistic,0.47134800295857987,0.9095460428994083,-0.43819803994082845,-0.4817766438122926,True
classification,roc_auc,full,random_forest,0.8976608727810651,0.9095460428994083,-0.011885170118343225,-0.013067145100710059,True
classification,roc_auc,keyword,logistic,0.7142751479289939,0.9095460428994083,-0.1952708949704144,-0.21469050027191472,True
classification,roc_auc,price,gradient_boosting,0.9095460428994083,0.9095460428994083,0.0,0.0,True
classification,roc_auc,price_all_news,random_forest,0.8976608727810651,0.9095460428994083,-0.011885170118343225,-0.013067145100710059,True
classification,roc_auc,price_climatebert,gradient_boosting,0.9022420488165681,0.9095460428994083,-0.007303994082840215,-0.008030373107398592,True
classification,roc_auc,price_finbert,hist_gradient_boosting,0.8999630177514792,0.9095460428994083,-0.00958302514792908,-0.010536052817492076,True
classification,roc_auc,price_finbert_climatebert,random_forest,0.8975406804733728,0.9095460428994083,-0.01200536242603556,-0.013199290480958421,True
classification,roc_auc,price_keyword,hist_gradient_boosting,0.9026164940828403,0.9095460428994083,-0.006929548816568043,-0.007618689422778809,True
regression,rmse,all_news,hist_gradient_boosting,0.01101357546334536,0.0071360032521912056,-0.003877572211154154,-0.5433815084043709,False
regression,rmse,climatebert,random_forest,0.009275015044286893,0.0071360032521912056,-0.0021390117920956873,-0.2997492737182925,False
regression,rmse,finbert,random_forest,0.01015955367164165,0.0071360032521912056,-0.0030235504194504447,-0.4237036212843685,False
regression,rmse,full,hist_gradient_boosting,0.007763390862688968,0.0071360032521912056,-0.0006273876104977627,-0.08791862732196974,False
regression,rmse,keyword,random_forest,0.01004637214510207,0.0071360032521912056,-0.002910368892910865,-0.40784298858288737,False
regression,rmse,price,random_forest,0.0071360032521912056,0.0071360032521912056,0.0,0.0,False
regression,rmse,price_all_news,hist_gradient_boosting,0.007763390862688968,0.0071360032521912056,-0.0006273876104977627,-0.08791862732196974,False
regression,rmse,price_climatebert,random_forest,0.00731997919115277,0.0071360032521912056,-0.00018397593896156417,-0.025781369831224768,False
regression,rmse,price_finbert,hist_gradient_boosting,0.007507098366832093,0.0071360032521912056,-0.00037109511464088717,-0.05200321545914899,False
regression,rmse,price_finbert_climatebert,random_forest,0.007418170095874781,0.0071360032521912056,-0.0002821668436835756,-0.039541299760048804,False
regression,rmse,price_keyword,hist_gradient_boosting,0.007708253200571519,0.0071360032521912056,-0.000572249948380313,-0.08019194052421375,False
