evaluation_slice,task,target,feature_group,model,test_rows,rmse,mae,r2,spearman,f1,precision,recall,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_top_10pct
all_weeks,classification,high_vol_21d,all_news,gradient_boosting,728,,,,,0.31386861313868614,0.6515151515151515,0.20673076923076922,0.47726040954449384,0.6254252958579881,497.0,23.0,165.0,43.0,0.6164383561643836
news_weeks,classification,high_vol_21d,all_news,gradient_boosting,591,,,,,0.33076923076923076,0.6515151515151515,0.22164948453608246,0.5184245787914545,0.6413695499753305,374.0,23.0,151.0,43.0,0.6833333333333333
all_weeks,classification,high_vol_21d,all_news,hist_gradient_boosting,728,,,,,0.32727272727272727,0.6716417910447762,0.21634615384615385,0.4589555877241956,0.6313424556213019,498.0,22.0,163.0,45.0,0.6575342465753424
news_weeks,classification,high_vol_21d,all_news,hist_gradient_boosting,591,,,,,0.34615384615384615,0.6818181818181818,0.23195876288659795,0.5161151668297541,0.6710639071385909,376.0,21.0,149.0,45.0,0.6666666666666666
all_weeks,classification,high_vol_21d,all_news,logistic,728,,,,,0.5253863134657837,0.4857142857142857,0.5721153846153846,0.4874839281457142,0.6898298816568047,394.0,126.0,89.0,119.0,0.6438356164383562
news_weeks,classification,high_vol_21d,all_news,logistic,591,,,,,0.5421412300683371,0.4857142857142857,0.6134020618556701,0.5271886496509175,0.708172115609338,271.0,126.0,75.0,119.0,0.7166666666666667
all_weeks,classification,high_vol_21d,all_news,random_forest,728,,,,,0.29739776951672864,0.6557377049180327,0.19230769230769232,0.45138544767061267,0.652302144970414,499.0,21.0,168.0,40.0,0.6575342465753424
news_weeks,classification,high_vol_21d,all_news,random_forest,591,,,,,0.31496062992125984,0.6666666666666666,0.20618556701030927,0.5573929463406831,0.7312835960424836,377.0,20.0,154.0,40.0,0.6666666666666666
all_weeks,classification,high_vol_21d,climatebert,gradient_boosting,728,,,,,0.29927007299270075,0.6212121212121212,0.1971153846153846,0.4296905431434696,0.6223465236686391,495.0,25.0,167.0,41.0,0.6164383561643836
news_weeks,classification,high_vol_21d,climatebert,gradient_boosting,591,,,,,0.3153846153846154,0.6212121212121212,0.211340206185567,0.478258718576898,0.6551845023241321,372.0,25.0,153.0,41.0,0.65
all_weeks,classification,high_vol_21d,climatebert,hist_gradient_boosting,728,,,,,0.23938223938223938,0.6078431372549019,0.14903846153846154,0.3869689719300746,0.5732433431952663,500.0,20.0,177.0,31.0,0.547945205479452
news_weeks,classification,high_vol_21d,climatebert,hist_gradient_boosting,591,,,,,0.2530612244897959,0.6078431372549019,0.15979381443298968,0.45600529080925056,0.6302812329585292,377.0,20.0,163.0,31.0,0.5666666666666667
all_weeks,classification,high_vol_21d,climatebert,logistic,728,,,,,0.3111954459203036,0.25705329153605017,0.3942307692307692,0.29263273997083195,0.5206823224852071,283.0,237.0,126.0,82.0,0.2876712328767123
news_weeks,classification,high_vol_21d,climatebert,logistic,591,,,,,0.3617021276595745,0.37362637362637363,0.35051546391752575,0.3543576083594183,0.5729180191643513,283.0,114.0,126.0,68.0,0.3
all_weeks,classification,high_vol_21d,climatebert,random_forest,728,,,,,0.2517985611510791,0.5,0.16826923076923078,0.33607590385814756,0.5595784023668638,485.0,35.0,173.0,35.0,0.4794520547945205
news_weeks,classification,high_vol_21d,climatebert,random_forest,591,,,,,0.26515151515151514,0.5,0.18041237113402062,0.45074102097717633,0.6540548962580176,362.0,35.0,159.0,35.0,0.48333333333333334
all_weeks,classification,high_vol_21d,finbert,gradient_boosting,728,,,,,0.05982905982905983,0.2692307692307692,0.03365384615384615,0.27847284695073415,0.4616494082840237,501.0,19.0,201.0,7.0,0.3287671232876712
news_weeks,classification,high_vol_21d,finbert,gradient_boosting,591,,,,,0.06363636363636363,0.2692307692307692,0.03608247422680412,0.3213059173834691,0.4894829780051417,378.0,19.0,187.0,7.0,0.31666666666666665
all_weeks,classification,high_vol_21d,finbert,hist_gradient_boosting,728,,,,,0.0898876404494382,0.2033898305084746,0.057692307692307696,0.26079226129489,0.4458394970414201,473.0,47.0,196.0,12.0,0.2328767123287671
news_weeks,classification,high_vol_21d,finbert,hist_gradient_boosting,591,,,,,0.09486166007905138,0.2033898305084746,0.061855670103092786,0.30572426539711484,0.4762782726115973,350.0,47.0,182.0,12.0,0.2
