ticker,year,article_count
AAPL,2020,473
AAPL,2022,3094
AAPL,2023,5771
AMD,2016,34
AMD,2017,1389
AMD,2018,926
AMD,2019,891
AMD,2020,1063
AMD,2021,812
AMD,2022,1864
AMD,2023,2160
AMZN,2020,278
AMZN,2023,4782
COST,2010,43
COST,2011,89
COST,2012,155
COST,2013,186
COST,2014,277
COST,2015,408
COST,2016,482
COST,2017,757
COST,2018,547
COST,2019,438
COST,2020,637
COST,2021,525
COST,2022,1079
COST,2023,1158
CVX,2016,339
CVX,2017,933
CVX,2018,838
CVX,2019,739
CVX,2020,1057
CVX,2021,983
CVX,2022,1768
CVX,2023,2031
DIS,2019,1035
DIS,2020,2873
DIS,2021,1741
DIS,2022,1922
DIS,2023,2080
INTC,2017,26
INTC,2018,2124
INTC,2019,2708
INTC,2020,1559
INTC,2021,1212
INTC,2022,1398
INTC,2023,2114
JNJ,2011,149
JNJ,2012,294
JNJ,2013,273
JNJ,2014,331
JNJ,2015,287
JNJ,2016,316
JNJ,2017,301
JNJ,2018,314
JNJ,2019,432
JNJ,2020,231
JPM,2018,498
JPM,2019,1707
JPM,2020,658
MSFT,2022,2679
MSFT,2023,6058
NVDA,2011,226
NVDA,2012,183
NVDA,2013,144
NVDA,2014,118
NVDA,2015,180
NVDA,2016,337
NVDA,2017,615
NVDA,2018,526
NVDA,2019,508
NVDA,2020,309
NVDA,2021,711
NVDA,2022,2368
NVDA,2023,5637
TSLA,2019,733
TSLA,2020,1142
TSLA,2022,3169
TSLA,2023,5543
WMT,2018,116
WMT,2019,1340
WMT,2020,2034
WMT,2021,1486
WMT,2022,1883
WMT,2023,1827
XOM,2018,101
XOM,2019,543
XOM,2020,1523
XOM,2021,1242
XOM,2022,1959
XOM,2023,1978
