evaluation_slice,task,target,feature_group,model,test_rows,rmse,mae,r2,spearman,f1,precision,recall,pr_auc,roc_auc,tn,fp,fn,tp,precision_at_top_10pct
all_weeks,classification,high_vol_21d,full,gradient_boosting,728,,,,,0.7713625866050808,0.7422222222222222,0.8028846153846154,0.8478103641831716,0.902755177514793,462.0,58.0,41.0,167.0,0.9863013698630136
news_weeks,classification,high_vol_21d,full,gradient_boosting,591,,,,,0.7920792079207921,0.7619047619047619,0.8247422680412371,0.8694408421787674,0.9088849359889895,347.0,50.0,34.0,160.0,1.0
all_weeks,classification,high_vol_21d,full,hist_gradient_boosting,728,,,,,0.7769784172661871,0.7751196172248804,0.7788461538461539,0.83620441833174,0.9133783284023668,473.0,47.0,46.0,162.0,0.9178082191780822
news_weeks,classification,high_vol_21d,full,hist_gradient_boosting,591,,,,,0.7948717948717948,0.7908163265306123,0.7989690721649485,0.8585429703338296,0.9185385234620479,356.0,41.0,39.0,155.0,0.9333333333333333
all_weeks,classification,high_vol_21d,full,logistic,728,,,,,0.7581395348837209,0.7342342342342343,0.7836538461538461,0.7882090479380636,0.8917529585798817,461.0,59.0,45.0,163.0,0.9178082191780822
news_weeks,classification,high_vol_21d,full,logistic,591,,,,,0.7819548872180451,0.7609756097560976,0.8041237113402062,0.8110462621110579,0.8967254408060454,348.0,49.0,38.0,156.0,0.9333333333333333
all_weeks,classification,high_vol_21d,full,random_forest,728,,,,,0.7695961995249406,0.7605633802816901,0.7788461538461539,0.8076581247668556,0.9121856508875741,469.0,51.0,46.0,162.0,0.8904109589041096
news_weeks,classification,high_vol_21d,full,random_forest,591,,,,,0.7908163265306123,0.7828282828282829,0.7989690721649485,0.8373944338961217,0.9154483367524475,354.0,43.0,39.0,155.0,0.9
all_weeks,classification,high_vol_21d,price,gradient_boosting,728,,,,,0.7901785714285714,0.7375,0.8509615384615384,0.8527678410870724,0.9098002958579883,457.0,63.0,31.0,177.0,0.9726027397260274
news_weeks,classification,high_vol_21d,price,gradient_boosting,591,,,,,0.8095238095238095,0.7522123893805309,0.8762886597938144,0.8731289753259792,0.9153964008413619,341.0,56.0,24.0,170.0,0.9833333333333333
